Offense,Bailable
dealing with any poisonous substance so a to endanger human life etc,bailable
dealing with fire or any combustible matter so a to endanger human life etc,bailable
so dealing with any explosive substance,bailable
so dealing with any machinery,bailable
a person omitting to guard against probable danger to human life by the fall of any building over which he ha a right entitling him to pull it down or repair it,bailable
a person omitting to take order with any animal in his possession so a to guard against danger to human life or of grievous hurt from such animal,bailable
committing a public nuisance,bailable
committing a nuisance after injunction to discontinue,bailable
sale etc of obscene book etc,bailable
sale etc of obscene object to young person,bailable
obscene song,bailable
keeping a lottery office,bailable
destroying damaging or defiling a place of worship or sacred object with intent to insult the religion of any class of person,nonbailable
maliciously insulting the religion or the religious belief of any class,nonbailable
causing a disturbance to an assembly engaged in religious worship,bailable
trespassing in place of worship or sepulchre disturbing funeral with intention to wound the feeling or to insult the religion of any person or offering indignity to a human corpse,nonbailable
uttering any word or making any sound in the hearing or making any gesture or placing any object in the sight of any person with intention to wound his religious feeling,nonbailable
nan,nan
nan,nan
nan,nan
nan,nan
murder,nonbailable
murder by a person under sentence of imprisonment for life,nonbailable
culpable homicide not amounting to murder if act by which the death is caused is done with intention of causing death etc,nonbailable
causing death by rash or negligent act,bailable
dowry death,nonbailable
abetment of suicide committed by child or insane or delirious person or an idiot or a person intoxicated,nonbailable
abetting the commission of suicide,nonbailable
attempt to murder,nonbailable
attempt to commit culpable homicide,nonbailable
attempt to commit suicide,bailable
nan,nan
offencepunishment,cognizable
causing miscarriage,bailable
causing miscarriage without woman consent,nonbailable
death caused by an act done with intent to cause miscarriage,nonbailable
act done with intent to prevent a child being born alive or to cause it to die after it birth,nonbailable
causing death of a quick unborn child by an act amounting to culpable homicide,nonbailable
exposure of a child under 12 year of age by parent or person having care of it with intention of wholly abandoning it,bailable
concealment of birth by secret disposal of dead body,bailable
nan,nan
nan,nan
nan,nan
nan,nan
voluntarily causing hurt,bailable
voluntarily causing hurt by dangerous weapon or mean,nonbailable
voluntarily causing grievous hurt,bailable
voluntarily causing grievous hurt by dangerous weapon or mean,nonbailable
voluntarily causing grievous hurt by use of acid etc,nonbailable
voluntarily throwing or attempting to throw acid,nonbailable
voluntarily causing hurt to extort property or a valuable security or to constrain to do anything which is illegal or which may facilitate the commission of an offence,nonbailable
administering stupefying drug with intent to cause hurt etc,nonbailable
voluntarily causing grievous hurt to extort property or a valuable security or to constrain to do anything which is illegal or which may facilitate the commission of an offence,nonbailable
voluntarily causing hurt to extort confession or information of property etc,bailable
voluntarily causing grievous hurt to extort confession or information or to compel restoration of property etc,nonbailable
voluntarily causing hurt to deter public servant from his duty,nonbailable
voluntarily causing grievous hurt to deter public servant from his duty,nonbailable
voluntarily causing hurt on grave and sudden provocation not intending to hurt any other than the person who gave the provocation,bailable
causing grievous hurt on grave and sudden provocation not intending to hurt and other than the person who gave the provocation,bailable
doing any act which endangers human life or the personal safety of others,bailable
causing hurt by an act which endangers human life etc,bailable
causing grievous hurt by an act which endangers human life etc,bailable
nan,nan
nan,nan
wrongfully restraining any person,bailable
wrongfully confining any person,bailable
wrongfully confining for 3 or more day,bailable
wrongfully confining for 10 or more day,bailable
keeping any person in wrongful confinement knowing that a writ ha been issued for his liberation,bailable
wrongful confinement in secret,bailable
wrongful confinement for the purpose of extorting property or constraining to an illegal act etc,bailable
wrongful confinement for the purpose of extorting confession or information or of compelling restoration of property etc,bailable
nan,nan
nan,nan
nan,nan
assault or use of criminal force otherwise than on grave provocation,bailable
assault or use of criminal force to deter a public servant from discharge of his duty,nonbailable
assault or use of criminal force to woman with intent to outrage her modesty,nonbailable
sexual harassment of the nature of unwelcome physical contact and advance or a demand or request for sexual favour or showing pornography,bailable
criminal force to woman with intent to disrobe,nonbailable
nan,nan
stalking,bailable
assault or criminal force with intent to dishonour a person otherwise than on grave and sudden provocation,bailable
assault or criminal force in attempt to commit theft of property worn or carried by a person,bailable
assault or use of criminal force in attempt wrongfully to confine a person,bailable
assault or use of criminal force on grave and sudden provocation,bailable
nan,nan
nan,nan
nan,nan
nan,nan
kidnapping,bailable
kidnapping or obtaining the custody of a minor in order that such minor may be employed or used for purpose of begging,nonbailable
kidnapping or abducting in order to murder,nonbailable
kidnapping for ransom etc,nonbailable
kidnapping or abducting with intent secretly and wrongfully to confine a person,nonbailable
kidnapping or abducting a woman to compel her marriage or to cause her defilement etc,nonbailable
procuration of minor girl,nonbailable
importation of girl from foreign country,nonbailable
kidnapping or abducting in order to subject a person to grievous hurt slavery etc,nonbailable
concealing or keeping in confinement a kidnapped person,nonbailable
kidnapping or abducting a child with intent to take property from the person of such child,nonbailable
trafficking of person,nonbailable
exploitation of a trafficked child,nonbailable
habitual dealing in slave,nonbailable
selling or letting to hire a minor for purpose of prostitution etc,nonbailable
buying or obtaining possession of a minor for the same purpose,nonbailable
unlawful compulsory labour,bailable
nan,nan
rape,nonbailable
person committing an offence of rape and inflicting injury which cause death or cause the woman to be in a persistent vegetative state,nonbailable
nan,nan
sexual intercourse by husband upon his wife during separation,bailable
sexual intercourse by a person in authority,nonbailable
gang rape,nonbailable
nan,nan
nan,nan
repeat offender,nonbailable
unnatural offence,nonbailable
nan,nan
theft,nonbailable
theft in a building tent or vessel,nonbailable
theft by clerk or servant of property in possession of master or employer,nonbailable
theft after preparation having been made for causing death or hurt or restraint or fear of death or of hurt or of restraint in order to the committing of such theft or to retiring after committing it or to retaining property taken by it,nonbailable
nan,nan
extortion,nonbailable
putting or attempting to put in fear of injury in order to commit extortion,bailable
extortion by putting a person in fear of death or grievous hurt,nonbailable
putting or attempting to put a person in fear of death or grievous hurt in order to commit extortion,nonbailable
extortion by threat of accusation of an offence punishable with death imprisonment for life or imprisonment for 10 year,bailable
putting a person in fear of accusation of an offence punishable with death imprisonment for life or imprisonment for 10 year in order to commit extortion,bailable
nan,nan
nan,nan
robbery,nonbailable
attempt to commit robbery,nonbailable
person voluntarily causing hurt in committing or attempting to commit robbery or any other person jointly concerned in such robbery,nonbailable
dacoity,nonbailable
murder in dacoity,nonbailable
robber or dacoity with attempt to cause death or grievous hurt,nonbailable
attempt to commit robbery or dacoity when armed with deadly weapon,nonbailable
making preparation to commit dacoity,nonbailable
belonging to a gang of person associated for the purpose of habitually committing dacoity,nonbailable
belonging to a wandering gang of person associated for the purpose of habitually committing theft,nonbailable
being one of five or more person assembled for the purpose of committing dacoity,nonbailable
dishonest misappropriation of movable property or converting it to one own use,bailable
dishonest misappropriation of property knowing that it wa in possession of a deceased person at his death and that it ha not since been in the possession of any person legally entitled to it,bailable
nan,nan
criminal breach of trust,nonbailable
criminal breach of trust by a carrier wharfinger etc,nonbailable
criminal breach of trust by a clerk or servant,nonbailable
criminal breach of trust by public servant or by banker merchant or agent etc,nonbailable
nan,nan
dishonestly receiving stolen property knowing it to be stolen,nonbailable
dishonestly receiving stolen property knowing that it wa obtained by dacoity,nonbailable
habitually dealing in stolen property,nonbailable
assisting in concealment or disposal of stolen property knowing it to be stolen,nonbailable
nan,nan
nan,nan
cheating,bailable
cheating a person whose interest the offender wa bound either by law or by legal contract to protect,bailable
cheating by personation,bailable
cheating and there by dishonestly inducing delivery of property or the making alteration or destruction of a valuable security,nonbailable
fraudulent removal or concealment of property etc to prevent distribution among creditor,bailable
fraudulently preventing from being made available for his creditor a debt or demand due to the offender,bailable
fraudulent execution of deed of transfer containing a false statement of consideration,bailable
fraudulent removal or concealment of property of himself or any other person or assisting in the doing thereof or dishonestly releasing any demand or claim to which he is entitled,bailable
nan,nan
mischief,bailable
mischief and thereby causing damage to the amount of 50 rupee or upwards,bailable
mischief by killing poisoning maiming or rendering useless any animal of the value of 10 rupee or upwards,bailable
mischief by killing poisoning maiming or rendering useless any elephant camel horse etc whatever may be it value or any other animal of the value of 50 rupee or upwards,bailable
mischief by causing diminution of supply of water for agricultural purpose etc,bailable
mischief by injury to public road bridge navigable river or navigable channel and rendering it impassable or less safe for travelling or conveying property,bailable
mischief by causing inundation or obstruction to public drainage attended with damage,bailable
mischief by destroying or moving or rendering less useful a lighthouse or seamark or by exhibiting false light,bailable
mischief by destroying or moving etc a landmark fixed by public authority,bailable
mischief by fire or explosive substance with intent to cause damage to an amount of 100 rupee or upwards or in case of agricultural produce 10 rupee or upwards,bailable
mischief by fire or explosive substance with intent to destroy house etc,nonbailable
mischief with intent to destroy or make unsafe a decked vessel or a vessel of 20 tone burden,nonbailable
the mischief described in the last section when committed by fire or any explosive substance,nonbailable
running vessel ashore with intent to commit theft etc,nonbailable
mischief committed after preparation made for causing death or hurt etc,bailable
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
criminal trespass,bailable
housetrespass,bailable
housetrespass in order to the commission of an offence punishable with death,nonbailable
housetrespass in order to the commission of an offence punishable with imprisonment for life,nonbailable
housetrespass in order to the commission of an offence punishable with imprisonment,bailable
housetrespass having made preparation for causing hurt assault etc,nonbailable
lurking house trespass or housebreaking,nonbailable
lurking housetrespass or housebreaking in order to the commission of an offence punishable with imprisonment,nonbailable
lurking housetrespass or housebreaking after preparation made for causing hurt assault etc,nonbailable
lurking housetrespass or housebreaking by night,nonbailable
lurking housetrespass or housebreaking by night in order to the commission of an offence punishable with imprisonment,nonbailable
lurking housetrespass or housebreaking by night after preparation made for causing hurt etc,nonbailable
grievous hurt caused whilst committing lurking housetrespass or housebreaking,nonbailable
death or grievous hurt caused by one of several person jointly concerned in housebreaking by night etc,nonbailable
dishonestly breaking open or unfastening any closed receptacle containing or supposed to contain property,nonbailable
being entrusted with any closed receptacle containing or supposed to contain any property and fraudulently opening the same,bailable
nan,nan
nan,nan
forgery,bailable
forgery of a record of a court of justice or of a registrar of birth etc kept by a public servant,nonbailable
forgery of a valuable security will or authority to make or transfer any valuable security or to receive any money etc,nonbailable
forgery for the purpose of cheating,nonbailable
forgery for the purpose of harming the reputation of any person or knowing that it is likely to be used for that purpose,bailable
nan,nan
using a genuine a forged document which is known to be forged,bailable
making or counterfeiting a seal plate etc with intent to commit a forgery punishable under section 467 of the indian penal code or possessing with like intent any such seal plate etc knowing the same to be counterfeit,bailable
making or counterfeiting a seal plate etc with intent to commit a forgery punishable otherwise than under section 467 of the indian penal code or possessing with like intent any such seal plate etc knowing the same to be counterfeit,bailable
having possession of a document knowing it to be forged with intent to use it a genuine if the document is one of the description mentioned in section 466 of the indian penal code,bailable
counterfeiting a device or mark used for authenticating document described in section 467 of the indian penal code or possessing counterfeit marked material,bailable
counterfeiting a device or mark used for authenticating document other than those described in section 467 of the indian penal code or possessing counterfeit marked material,nonbailable
fraudulently destroying or defacing or attempting to destroy or deface or secreting a will etc,nonbailable
falsification of account,bailable
nan,nan
nan,nan
nan,nan
nan,nan
using a false property mark with intent to deceive or injure any person,bailable
counterfeiting a property mark used by another with intent to cause damage or injury,bailable
counterfeiting a property mark used by a public servant or any mark used by him to denote the manufacture quality etc of any property,bailable
fraudulently making or having possession of any die plate or other instrument for counterfeiting any public or private property mark,bailable
knowingly selling good marked with a counterfeit property mark,bailable
fraudulently marking a false mark upon any package or receptacle containing good with intent to cause it to be believed that it contains good which it doe not contain etc,bailable
making use of any such false mark,bailable
removing destroying or defacing property mark with intent to cause injury,bailable
counterfeiting currencynotes or banknote,nonbailable
using a genuine forged or counterfeit currencynotes or banknote,nonbailable
possession of forged or counterfeit currencynotes or banknote,bailable
making or possessing machinery instrument or material for forging or counterfeiting currencynotes or banknote,nonbailable
making or using document resembling currencynotes or banknote,bailable
on refusal to disclose the name and address of the printer,bailable
being bound to attend on or supply the want of a person who is helpless from youth unsoundness of mind or disease and voluntarily omitting to do so,bailable
nan,nan
a man by deceit causing a woman not lawfully married to him to believe that she is lawfully married to him and to cohabit with him in that belief,nonbailable
marrying again during the lifetime of a husband or wife,bailable
same offence with concealment of the former marriage from the person with whom subsequent marriage is contracted,bailable
a person with fraudulent intention going through the ceremony of being married knowing that he is not thereby lawfully married,bailable
adultery,bailable
enticing or taking away or detaining with a criminal intent a married woman,bailable
punishment for subjecting a married woman to cruelty,nonbailable
nan,nan
defamation against the president or the vicepresident or the governor of a state or administrator of a union territory or a minister in respect of his conduct in the discharge of his public function when instituted upon a complaint made by the public prosecutor,bailable
printing or engraving matter knowing it to be defamatory against the president or the vicepresident or the governor of a state or administrator of a union territory or a minister in respect of his conduct in the discharge of his public function when instituted upon a complaint made by the public prosecutor,bailable
sale of printed or engraved substance containing defamatory matter knowing it to contain such matter against the president or the vicepresident or the governor of a state or administrator of a union territory or a minister in respect of his conduct in the discharge of his public function when instituted upon a complaint made by the public prosecutor,bailable
nan,nan
insult intended to provoke breach of the peace,bailable
false statement rumour etc circulated with intent to cause mutiny or offence against the public peace,nonbailable
criminal intimidation,bailable
criminal intimidation by anonymous communication or having taken precaution to conceal whence the threat come,bailable
act caused by inducing a person to believe that he will be rendered an object of divine displeasure,bailable
uttering any word or making any gesture intended to insult the modesty of a woman etc,bailable
appearing in a public place etc in a state of intoxication and causing annoyance to any person,bailable
nan,
murder,nonbailable
rioting,bailable
rioting with deadly weapon,nonbailable
rioting armed with deadly weapon,nonbailable
wantonly giving provocation with intent to cause riot,bailable
joining or continuing in unlawful assembly knowing it ha been commanded to disperse,bailable
joining unlawful assembly armed with a deadly weapon,bailable
word gesture or act intended to insult the modesty of a woman,bailable
statement conducing to public mischief,bailable
criminal intimidation,same a offence
adultery,bailable
forgery,bailable
forgery for purpose of cheating,nonbailable
theft,bailable
cheating and dishonestly inducing delivery of property,nonbailable
voluntarily causing hurt,bailable
attempt to murder,nonbailable
criminal conspiracy,nonbailable
abettor present when the offense is committed,nonbailable
abetment of any offense if the act is committed,nonbailable
unlawful assembly,bailable
punishment for being a member of an unlawful assembly,bailable
every member of unlawful assembly guilty of offense committed in prosecution of common object,nonbailable
causing disappearance of evidence of an offense,nonbailable
false charge of offense made with intent to injure,nonbailable
voluntarily causing hurt by dangerous weapon or mean,nonbailable
voluntarily causing grievous hurt,bailable
voluntarily causing grievous hurt by dangerous weapon or mean,nonbailable
wrongful restraint,bailable
theft in dwelling house etc,nan
criminal intimidation,bailable
defamation,bailable
cheating and dishonestly inducing delivery of property,nonbailable
criminal breach of trust,bailable
dacoity,nonbailable
unlawful assembly guilty of offense committed in prosecution of common object,nonbailable
false charge of offense made with intent to injure,nonbailable
resistance or obstruction by a person to his lawful apprehension,bailable
counterfeiting indian coin,nonbailable
deliberate and malicious act intended to outrage religious feeling,nonbailable
culpable homicide not amounting to murder,nonbailable
wrongful restraint,bailable
wrongful confinement,bailable
assault or criminal force to woman with intent to outrage her modesty,nonbailable
kidnapping,nonbailable
kidnapping or abducting in order to murder,nonbailable
kidnapping or abducting with intent secretly and wrongfully to confine person,nonbailable
criminal breach of trust by public servant or by banker merchant or agent,nonbailable
cheating and dishonestly inducing delivery of property,nonbailable
lurking housetrespass or housebreaking by night in order to commit offense punishable with imprisonment,nonbailable
husband or relative of husband of a woman subjecting her to cruelty,nonbailable
criminal trespass,bailable
criminal intimidation,bailable
intentional insult with intent to provoke breach of the peace,bailable
public servant framing incorrect record or writing with intent to save person from punishment,nonbailable
intentional insult or interruption to public servant sitting in judicial proceeding,bailable
making or selling instrument for counterfeiting coin,nonbailable
public nuisance,bailable
adulteration of food or drink intended for sale,nonbailable
rash driving or riding on a public way,bailable
danger or obstruction in public way or line of navigation,bailable
obscene act and song,bailable
uttering word etc with deliberate intent to wound religious feeling,bailable
causing death by negligence,bailable
thug,nonbailable
causing miscarriage,bailable
concealment of birth by secret disposal of dead body,bailable
voluntarily causing grievous hurt by use of acid etc,nonbailable
kidnapping or maiming a minor for purpose of begging,nonbailable
trafficking of person,nonbailable
rape detailed offense under various circumstance,nonbailable
unnatural offense,nonbailable
theft of property during disaster looting,nonbailable
robbery or dacoity with attempt to cause death or grievous hurt,nonbailable
belonging to a gang of dacoit,nonbailable
assembling for purpose of committing dacoity,nonbailable
dishonestly receiving stolen property,bailable
cheating by personation,bailable
mischief by fire or explosive substance with intent to cause damage,bailable
forgery,bailable
attempting to commit offense punishable with imprisonment for life or other imprisonment,same a offence
counterfeiting device or mark used for authenticating document other than those described in section 467,nonbailable
possession of forged or counterfeit currencynotes or banknote,nonbailable
using a genuine a forged document,nonbailable
mischief committed after preparation made for causing death or hurt,nonbailable
mischief by fire or explosive substance with intent to destroy house etc,nonbailable
mischief by fire or explosive substance with intent to cause damage,bailable
abetment of a thing,same a offence
provocation with intent to cause riot,nonbailable
public servant disobeying law with intent to cause injury,bailable
personating a public servant,bailable
giving or fabricating false evidence in a judicial proceeding,nonbailable
using evidence known to be false,nonbailable
destruction of document to prevent it production a evidence,nonbailable
harboring offender,same a offence
intentional omission to apprehend by a public servant,bailable
personation of a juror or assessor,bailable
making atmosphere noxious to health,bailable
negligent conduct with respect to fire or combustible matter,bailable
negligent conduct with respect to explosive substance,bailable
negligent conduct with respect to animal,bailable
public nuisance not otherwise covered,bailable
sale etc of obscene book etc,bailable
dowry death,nonbailable
abetment of suicide,nonbailable
attempt to commit suicide,bailable
causing miscarriage without woman consent,nonbailable
act done with intent to prevent child being born alive or to cause it to die after birth,nonbailable
acid attack causing grievous hurt,nonbailable
causing hurt by mean of poison etc with intent to commit an offense,nonbailable
causing hurt by act endangering life or personal safety of others,bailable
causing grievous hurt by act endangering life or personal safety of others,bailable
exploitation of a trafficked person,nonbailable
causing death or resulting in persistent vegetative state of victim,nonbailable
sexual intercourse by husband upon his wife during separation,nonbailable
sexual intercourse by a person in authority,nonbailable
gang rape,nonbailable
repeat offender,nonbailable
cheating,bailable
mischief,bailable
